time,displacement,velocity,acceleration
0.00021961099992040545,4095.0,0.0,0.0
0.13393897500645835,4095.0,0.0,0.0
0.2840973629936343,4095.0,0.0,-324731.57918553124
0.4339152790053049,4095.0,-36466.091328311435,1817180.2102476964
0.5462143379991176,0.0,69936.09244638444,-538971.7743304316
0.6047644469945226,4095.0,0.0,0.0
0.7345223860029364,4095.0,0.0,0.0
0.8839114019938279,4095.0,0.0,0.0
1.0336777979973704,4095.0,0.0,0.0
1.1836856370064197,4095.0,0.0,0.0
1.3336464110034285,4095.0,0.0,0.0
1.4835025609936565,4095.0,0.0,0.0
1.6336128219991224,4095.0,0.0,0.0
1.7834252330067102,4095.0,0.0,0.0
1.933298329997342,4095.0,0.0,0.0
2.083503761998145,4095.0,0.0,0.0
2.233555801998591,4095.0,0.0,0.0
2.3831299239973305,4095.0,0.0,0.0
2.533412300996133,4095.0,0.0,0.0
2.6832758889941033,4095.0,0.0,0.0
2.8333495580009185,4095.0,0.0,0.0
2.9829402169998502,4095.0,0.0,0.0
3.1329348019935424,4095.0,0.0,0.0
3.283141218998935,4095.0,0.0,0.0
3.432978279000963,4095.0,0.0,0.0
3.5829749039985472,4095.0,0.0,0.0
3.7326907380047487,4095.0,0.0,0.0
3.8826046330068493,4095.0,0.0,0.0
4.032793969003251,4095.0,0.0,0.0
4.183057450994966,4095.0,0.0,0.0
4.332775640999898,4095.0,0.0,0.0
4.483011674994486,4095.0,0.0,0.0
4.632955930996104,4095.0,0.0,0.0
4.782880357000977,4095.0,0.0,0.0
4.932849452001392,4095.0,0.0,0.0
5.08244084699254,4095.0,0.0,0.0
5.232680995002738,4095.0,0.0,0.0
5.382705733994953,4095.0,0.0,0.0
5.532506674993783,4095.0,0.0,0.0
5.682626181995147,4095.0,0.0,0.0
5.832456318006734,4095.0,0.0,0.0
5.982438941005967,4095.0,0.0,0.0
6.132459554006346,4095.0,0.0,0.0
6.2822051090042805,4095.0,0.0,0.0
6.432279842993012,4095.0,0.0,0.0
6.5822678319964325,4095.0,0.0,0.0
6.732161944994004,4095.0,0.0,0.0
6.882191679003881,4095.0,0.0,0.0
7.03213007299928,4095.0,0.0,0.0
7.18216841899266,4095.0,0.0,0.0
7.331985693992465,4095.0,0.0,0.0
7.481986633996712,4095.0,0.0,0.0
7.631950662005693,4095.0,0.0,0.0
7.78185209199728,4095.0,0.0,0.0
7.931805251006153,4095.0,0.0,0.0
8.081709335994674,4095.0,0.0,0.0
8.231473142994219,4095.0,0.0,0.0
8.381399759993656,4095.0,0.0,0.0
8.531455186996027,4095.0,0.0,0.0
8.681585489001009,4095.0,0.0,0.0
8.83156209399749,4095.0,0.0,0.0
8.981353042006958,4095.0,0.0,0.0
9.131401617996744,4095.0,0.0,0.0
9.28140090899251,4095.0,0.0,0.0
9.431359252994298,4095.0,0.0,0.0
9.580954692006344,4095.0,0.0,0.0
9.73089325800538,4095.0,0.0,0.0
9.881126619002316,4095.0,0.0,0.0
10.030908524000552,4095.0,0.0,0.0
10.181008008003118,4095.0,0.0,0.0
10.330916328006424,4095.0,0.0,0.0
10.48096765000082,4095.0,0.0,0.0
10.630921418996877,4095.0,0.0,0.0
10.780860294995364,4095.0,0.0,0.0
10.930379035999067,4095.0,0.0,0.0
11.080768892992637,4095.0,0.0,0.0
11.23072340300132,4095.0,0.0,0.0
11.380510825998499,4095.0,0.0,0.0
11.530410666004173,4095.0,0.0,0.0
11.680518416003906,4095.0,0.0,0.0
11.830308328993851,4095.0,0.0,0.0
11.980309534992557,4095.0,0.0,0.0
12.13019686700136,4095.0,0.0,0.0
12.280175819003489,4095.0,0.0,0.0
12.430325262001134,4095.0,0.0,0.0
12.580185262006125,4095.0,0.0,0.0
12.73019614200166,4095.0,0.0,0.0
12.880092146995594,4095.0,0.0,0.0
13.030079381001997,4095.0,0.0,0.0
13.180047515998012,4095.0,0.0,0.0
13.329973155996413,4095.0,0.0,0.0
13.479996669993852,4095.0,0.0,0.0
13.629982433005353,4095.0,0.0,0.0
13.779810666004778,4095.0,0.0,0.0
13.929809506997117,4095.0,0.0,0.0
14.07947163800418,4095.0,0.0,0.0
14.22988455099403,4095.0,0.0,0.0
14.379695416995673,4095.0,0.0,0.0
14.52953979599988,4095.0,0.0,0.0
14.679623509000521,4095.0,0.0,0.0
14.829603813996073,4095.0,0.0,0.0
14.979139913994004,4095.0,0.0,0.0
15.129385683001601,4095.0,0.0,0.0
15.279315681997105,4095.0,0.0,-315878.19454703445
15.429237813994405,4095.0,-35965.55583707982,1785899.1992505158
15.54309820299386,0.0,69405.0789186568,-547198.9295513999
15.602098329996807,4095.0,0.0,0.0
15.728935332997935,4095.0,0.0,0.0
15.879102121005417,4095.0,0.0,0.0
16.029005367992795,4095.0,0.0,0.0
16.17867469000339,4095.0,0.0,0.0
16.32905369999935,4095.0,0.0,0.0
16.478750059002778,4095.0,0.0,0.0
16.62897324700316,4095.0,0.0,0.0
16.7785433849931,4095.0,0.0,0.0
16.928725441001006,4095.0,0.0,0.0
17.078727102998528,4095.0,0.0,0.0
17.22850639799435,4095.0,0.0,0.0
17.378581964003388,4095.0,0.0,0.0
17.528504596994026,4095.0,0.0,0.0
17.67851928800519,4095.0,0.0,0.0
17.82838689700293,4095.0,0.0,0.0
17.978341246998752,4095.0,0.0,0.0
18.12839674099814,4095.0,0.0,0.0
18.278240964005818,4095.0,0.0,0.0
18.4282588789938,4095.0,0.0,0.0
18.578101655002683,4095.0,0.0,0.0
18.728033705003327,4095.0,0.0,0.0
18.878038804992684,4095.0,0.0,0.0
